function,lib,name
ftp_disconnect,libcurl,ftp_disconnect
Curl_open,libcurl,Curl_open
Curl_http_host,libcurl,Curl_http_host
Curl_connect,libcurl,Curl_connect
socks_proxy_cf_connect,libcurl,socks_proxy_cf_connect
multi_done,libcurl,multi_done
Curl_flush_cookies,libcurl,Curl_flush_cookies
Curl_vsetopt,libcurl,Curl_vsetopt
Curl_conncache_add_conn,libcurl,Curl_conncache_add_conn
krb5_decode,libcurl,krb5_decode
Curl_resolv_timeout,libcurl,Curl_resolv_timeout
tool_version_info,curl,tool_version_info
schannel_connect_step1,libcurl,schannel_connect_step1
Curl_getworkingpath,libcurl,Curl_getworkingpath
config_init,curl,config_init
Curl_init_userdefined,libcurl,Curl_init_userdefined
Curl_cert_hostcheck,libcurl,Curl_cert_hostcheck
check_telnet_options,libcurl,check_telnet_options
read_data,libcurl,read_data
curl_multi_add_handle,libcurl,curl_multi_add_handle
tool_header_cb,curl,tool_header_cb
Curl_fopen,libcurl,Curl_fopen
Curl_ssl_addsessionid,libcurl,Curl_ssl_addsessionid
Curl_conncache_find_bundle,libcurl,Curl_conncache_find_bundle
Curl_init_CONNECT,libcurl,Curl_init_CONNECT
Curl_build_unencoding_stack,libcurl,Curl_build_unencoding_stack
getparameter,curl,getparameter
ftp_do,libcurl,ftp_do
ftp_done,libcurl,ftp_done
Curl_ssl_config_matches,libcurl,Curl_ssl_config_matches
Curl_safecmp,libcurl,Curl_safecmp
create_transfer,curl,create_transfer
ssh_statemach_act,libcurl,ssh_statemach_act
Curl_allow_auth_to_host,libcurl,Curl_allow_auth_to_host
curl_multi_remove_handle,libcurl,curl_multi_remove_handle
smb_done,libcurl,smb_done
conn_is_conn,libcurl,conn_is_conn
ftp_do_more,libcurl,ftp_do_more
tftp_send_first,libcurl,tftp_send_first
Curl_clone_primary_ssl_config,libcurl,Curl_clone_primary_ssl_config
suboption,libcurl,suboption
Curl_free_primary_ssl_config,libcurl,Curl_free_primary_ssl_config
Curl_retry_request,libcurl,Curl_retry_request
servercert,libcurl,servercert
Curl_getconnectinfo,libcurl,Curl_getconnectinfo
Curl_ssl_getsessionid,libcurl,Curl_ssl_getsessionid
post_per_transfer,curl,post_per_transfer
smtp_done,libcurl,smtp_done
ConnectionExists,libcurl,ConnectionExists
Curl_add_custom_headers,libcurl,Curl_add_custom_headers
ftp_statemachine,libcurl,ftp_statemachine
Curl_http_body,libcurl,Curl_http_body
Curl_cookie_add,libcurl,Curl_cookie_add
Curl_follow,libcurl,Curl_follow
safecmp,libcurl,safecmp
sectransp_connect_step1,libcurl,sectransp_connect_step1
ftp_state_prepare_transfer,libcurl,ftp_state_prepare_transfer
conn_free,libcurl,conn_free
set_ssl_ciphers,libcurl,set_ssl_ciphers
Curl_http_output_auth,libcurl,Curl_http_output_auth
telnet_done,libcurl,telnet_done
ftp_setup_connection,libcurl,ftp_setup_connection
curl_easy_duphandle,libcurl,curl_easy_duphandle
display_conn_info,libcurl,display_conn_info
ftp_parse_url_path,libcurl,ftp_parse_url_path
Curl_http_method,libcurl,Curl_http_method
