function,lib,name
ftp_done,libcurl,sub_156A4
smtp_done,libcurl,sub_2EDF0
Curl_fopen,libcurl,sub_10A74
Curl_init_CONNECT,libcurl,not match
Curl_vsetopt,libcurl,sub_2B740
Curl_pretransfer,libcurl,sub_343BC
Curl_hsts_loadfiles,libcurl,Curl_hsts_loadfiles
Curl_connect,libcurl,sub_36910
Curl_getworkingpath,libcurl,sub_E11C
Curl_http_auth_act,libcurl,sub_1A9E4
ftp_state_prepare_transfer,libcurl,sub_124D4
ssh_statemach_act,libcurl,sub_44C5C
Curl_bump_headersize,libcurl,Curl_bump_headersize
Curl_pp_readresp,libcurl,sub_28B74
curl_share_cleanup,libcurl,curl_share_cleanup
Curl_http_body,libcurl,sub_1C04C
check_telnet_options,not found,
Curl_close,libcurl,sub_35B34
Curl_build_unencoding_stack,libcurl,sub_D608
Curl_cookie_add,not found,
ftp_setup_connection,libcurl,sub_121A0
Curl_retry_request,libcurl,sub_34CFC
curl_share_setopt,libcurl,curl_share_setopt
curl_easy_duphandle,libcurl,curl_easy_duphandle
str_is_nonascii,not found,
ftp_disconnect,libcurl,sub_1230C
Curl_follow,libcurl,sub_34744
ftp_parse_url_path,libcurl,sub_11DE4
Curl_http_readwrite_headers,libcurl,sub_1DEFC
ftp_do_more,libcurl,sub_14D30
socks_proxy_cf_connect,libcurl,sub_31840
Curl_resolv_timeout,libcurl,sub_18AF8
Curl_http_method,libcurl,sub_1BA98
Curl_cert_hostcheck,libcurl,sub_3C8A0
tftp_send_first,libcurl,not match
