function,lib,name
file_connect,libcurl,file_connect
Curl_vsetopt,libcurl,Curl_vsetopt
Curl_cert_hostcheck,libcurl,Curl_cert_hostcheck
ftp_parse_url_path,libcurl,ftp_parse_url_path
socks_proxy_cf_connect,libcurl,socks_proxy_cf_connect
tftp_send_first,libcurl,tftp_send_first
Curl_pp_readresp,libcurl,Curl_pp_readresp
Curl_retry_request,libcurl,Curl_retry_request
ssh_statemach_act,libcurl,ssh_statemach_act
Curl_cookie_add,libcurl,Curl_cookie_add
Curl_cookie_cleanup,libcurl,Curl_cookie_cleanup
Curl_http_body,libcurl,Curl_http_body
Curl_http_method,libcurl,Curl_http_method
Curl_follow,libcurl,Curl_follow
ftp_do_more,libcurl,ftp_do_more
Curl_http_readwrite_headers,libcurl,Curl_http_readwrite_headers
Curl_init_CONNECT,libcurl,Curl_init_CONNECT
Curl_bump_headersize,libcurl,Curl_bump_headersize
curl_easy_duphandle,libcurl,curl_easy_duphandle
smtp_done,libcurl,smtp_done
Curl_fopen,libcurl,Curl_fopen
do_SOCKS5,libcurl,do_SOCKS5
Curl_resolv_timeout,libcurl,Curl_resolv_timeout
file_do,libcurl,file_do
imap_done,libcurl,imap_done
ftp_state_prepare_transfer,libcurl,ftp_state_prepare_transfer
ftp_done,libcurl,ftp_done
Curl_cookie_init,libcurl,Curl_cookie_init
rtsp_do,libcurl,rtsp_do
