function,lib,name
resend_query,dnsmasq,sub_28CCC
parse_server,dnsmasq,sub_1D030
dhcp6_no_relay,not found,
check_servers,dnsmasq,sub_2B32C
dhcp6_maybe_relay,not found,
local_bind,dnsmasq,not match
forward_query,dnsmasq,sub_27578
dhcp6_reply,not found,
allocate_rfd,dnsmasq,sub_27228
sockaddr_isequal,dnsmasq,sub_1BB2C
reply_query,dnsmasq,sub_27E7C
pre_allocate_sfds,dnsmasq,sub_2AEBC
loop_send_probes,dnsmasq,sub_464C0
server_gone,dnsmasq,sub_28D64
enumerate_interfaces,dnsmasq,sub_28DF0
free_rfd,dnsmasq,sub_27330
random_sock,dnsmasq,not match
free_rfds,dnsmasq,free_rfds
