function,lib,name
defineAttribute,libexpat,defineAttribute
addBinding,libexpat,addBinding
doProlog,libexpat,doProlog
XML_GetBuffer,libexpat,XML_GetBuffer
big2_prologTok,libexpat,big2_prologTok
lookup,libexpat,lookup
build_model,libexpat,build_model
little2_prologTok,libexpat,little2_prologTok
storeAtts,libexpat,storeAtts
normal_prologTok,libexpat,normal_prologTok
XML_ParserCreate,libexpat,XML_ParserCreate
build_node,libexpat,build_node
internalEntityProcessor,libexpat,internalEntityProcessor
nextScaffoldPart,libexpat,nextScaffoldPart
parserCreate,libexpat,parserCreate
storeRawNames,libexpat,storeRawNames
XML_ExternalEntityParserCreate,libexpat,XML_ExternalEntityParserCreate
getElementType,libexpat,getElementType
