function,lib,name
parserCreate,libexpat,parserCreate
unsignedCharToPrintable,libexpat,unsignedCharToPrintable
entityTrackingReportStats,libexpat,entityTrackingReportStats
storeRawNames,libexpat,storeRawNames
doCdataSection,libexpat,doCdataSection
testingAccountingGetCountBytesDirect,libexpat,testingAccountingGetCountBytesDirect
build_node,libexpat,build_node
lookup,libexpat,lookup
epilogProcessor,libexpat,epilogProcessor
getDebugLevel,libexpat,getDebugLevel
entityTrackingOnOpen,libexpat,entityTrackingOnOpen
doProlog,libexpat,doProlog
XML_GetBuffer,libexpat,XML_GetBuffer
little2_prologTok,libexpat,little2_prologTok
accountingGetCurrentAmplification,libexpat,accountingGetCurrentAmplification
XML_ParserCreate,libexpat,XML_ParserCreate
accountingReportStats,libexpat,accountingReportStats
XML_ExternalEntityParserCreate,libexpat,XML_ExternalEntityParserCreate
defineAttribute,libexpat,defineAttribute
storeAtts,libexpat,storeAtts
addBinding,libexpat,addBinding
getElementType,libexpat,getElementType
appendAttributeValue,libexpat,appendAttributeValue
internalEntityProcessor,libexpat,internalEntityProcessor
big2_prologTok,libexpat,big2_prologTok
accountingDiffTolerated,libexpat,accountingDiffTolerated
testingAccountingGetCountBytesIndirect,libexpat,testingAccountingGetCountBytesIndirect
entityValueInitProcessor,libexpat,entityValueInitProcessor
normal_prologTok,libexpat,normal_prologTok
storeEntityValue,libexpat,storeEntityValue
processXmlDecl,libexpat,processXmlDecl
nextScaffoldPart,libexpat,nextScaffoldPart
