function,lib,name
build_model,not found,
XML_ExternalEntityParserCreate,libexpat,XML_ExternalEntityParserCreate
build_node,libexpat,not match
addBinding,libexpat,sub_3434
nextScaffoldPart,libexpat,sub_2D54
lookup,libexpat,not match
XML_ParserCreate,libexpat,XML_ParserCreate
defineAttribute,libexpat,not match
XML_GetBuffer,libexpat,XML_GetBuffer
big2_prologTok,libexpat,not match
doProlog,libexpat,sub_625C
internalEntityProcessor,libexpat,sub_9760
storeRawNames,libexpat,sub_512C
parserCreate,libexpat,sub_A518
normal_prologTok,libexpat,not match
getElementType,libexpat,not match
little2_prologTok,libexpat,not match
storeAtts,libexpat,not match
