function,lib,name
XML_GetBuffer,libexpat,XML_GetBuffer
doCdataSection,libexpat,doCdataSection
storeEntityValue,libexpat,storeEntityValue
XML_ExternalEntityParserCreate,libexpat,XML_ExternalEntityParserCreate
lookup,libexpat,lookup
testingAccountingGetCountBytesIndirect,libexpat,testingAccountingGetCountBytesIndirect
testingAccountingGetCountBytesDirect,libexpat,testingAccountingGetCountBytesDirect
parserCreate,libexpat,parserCreate
internalEntityProcessor,libexpat,internalEntityProcessor
externalParEntProcessor,libexpat,externalParEntProcessor
accountingReportStats,libexpat,accountingReportStats
unsignedCharToPrintable,libexpat,unsignedCharToPrintable
processXmlDecl,libexpat,processXmlDecl
entityTrackingReportStats,libexpat,entityTrackingReportStats
accountingDiffTolerated,libexpat,accountingDiffTolerated
normal_prologTok,libexpat,normal_prologTok
XML_ParserCreate,libexpat,XML_ParserCreate
nextScaffoldPart,libexpat,nextScaffoldPart
addBinding,libexpat,addBinding
accountingGetCurrentAmplification,libexpat,accountingGetCurrentAmplification
epilogProcessor,libexpat,epilogProcessor
processInternalEntity,libexpat,processInternalEntity
appendAttributeValue,libexpat,appendAttributeValue
getElementType,libexpat,getElementType
prologProcessor,libexpat,prologProcessor
getDebugLevel,libexpat,getDebugLevel
defineAttribute,libexpat,defineAttribute
little2_prologTok,libexpat,little2_prologTok
big2_prologTok,libexpat,big2_prologTok
setElementTypePrefix,libexpat,setElementTypePrefix
entityTrackingOnOpen,libexpat,entityTrackingOnOpen
build_node,libexpat,build_node
entityValueInitProcessor,libexpat,entityValueInitProcessor
storeAtts,libexpat,storeAtts
doProlog,libexpat,doProlog
storeRawNames,libexpat,storeRawNames
