function,lib,name
archive_string_append_from_wcs,libarchive,archive_string_append_from_wcs
read_header,libarchive,sub_3C840
parse_codes,libarchive,sub_3FD90
archive_wstring_append_from_mbs,libarchive,archive_wstring_append_from_mbs
archive_write_open,libarchive,archive_write_open
parse_rockridge,libarchive,sub_3362C
__archive_write_allocate_filter,libarchive,__archive_write_allocate_filter
_warc_read,libarchive,sub_46230
archive_read_format_rar_read_data,libarchive,sub_3F0C0
rar_read_ahead,libarchive,sub_3F180
get_uncompressed_data,libarchive,sub_27610
archive_read_format_zip_cleanup,libarchive,sub_470D4
strncat_from_utf8_libarchive2,libarchive,sub_4E764
archive_acl_from_text_l,libarchive,archive_acl_from_text_l
