function,lib,name
_warc_read,libarchive,_warc_read
archive_string_append_from_wcs,libarchive,archive_string_append_from_wcs
archive_write_open2,libarchive,archive_write_open2
archive_write_disk_set_acls,libarchive,archive_write_disk_set_acls
rar_read_ahead,libarchive,rar_read_ahead
archive_acl_from_text_l,libarchive,archive_acl_from_text_l
get_uncompressed_data,libarchive,get_uncompressed_data
archive_read_format_rar_read_data,libarchive,archive_read_format_rar_read_data
archive_wstring_append_from_mbs,libarchive,archive_wstring_append_from_mbs
_archive_write_disk_close,libarchive,_archive_write_disk_close
create_dir,libarchive,create_dir
read_header,libarchive,read_header
current_fixup,libarchive,current_fixup
parse_rockridge,libarchive,parse_rockridge
__archive_write_allocate_filter,libarchive,__archive_write_allocate_filter
archive_read_format_zip_cleanup,libarchive,archive_read_format_zip_cleanup
parse_codes,libarchive,parse_codes
strncat_from_utf8_libarchive2,libarchive,strncat_from_utf8_libarchive2
