function,lib,name
archive_write_open2,libarchive,archive_write_open2
archive_write_disk_set_acls,libarchive,archive_write_disk_set_acls
__archive_write_allocate_filter,libarchive,__archive_write_allocate_filter
archive_wstring_append_from_mbs,libarchive,archive_wstring_append_from_mbs
parse_codes,libarchive,parse_codes
read_header,libarchive,read_header
archive_acl_from_text_l,libarchive,archive_acl_from_text_l
archive_read_format_zip_cleanup,libarchive,archive_read_format_zip_cleanup
archive_string_append_from_wcs,libarchive,archive_string_append_from_wcs
get_uncompressed_data,libarchive,get_uncompressed_data
parse_rockridge,libarchive,parse_rockridge
rar_read_ahead,libarchive,rar_read_ahead
create_dir,libarchive,create_dir
current_fixup,libarchive,current_fixup
archive_read_format_rar_read_data,libarchive,archive_read_format_rar_read_data
strncat_from_utf8_libarchive2,libarchive,strncat_from_utf8_libarchive2
_warc_read,libarchive,_warc_read
_archive_write_disk_close,libarchive,_archive_write_disk_close
