function,lib,name
parse_file_info,libarchive,parse_file_info
archive_read_format_rar_read_data,libarchive,archive_read_format_rar_read_data
archive_wstring_append_from_mbs,libarchive,archive_wstring_append_from_mbs
__archive_write_allocate_filter,libarchive,__archive_write_allocate_filter
atol8,libarchive,atol8
archive_acl_from_text_l,libarchive,archive_acl_from_text_l
archive_write_open2,libarchive,archive_write_open2
parse_rockridge,libarchive,parse_rockridge
current_fixup,libarchive,current_fixup
parse_codes,libarchive,parse_codes
_archive_write_disk_close,libarchive,_archive_write_disk_close
next_cache_entry,libarchive,next_cache_entry
archive_read_format_iso9660_read_header,libarchive,archive_read_format_iso9660_read_header
archive_read_format_lha_read_header,libarchive,archive_read_format_lha_read_header
create_dir,libarchive,create_dir
rar_read_ahead,libarchive,rar_read_ahead
atol10,libarchive,atol10
archive_write_disk_set_acls,libarchive,archive_write_disk_set_acls
read_header,libarchive,read_header
archive_read_format_zip_cleanup,libarchive,archive_read_format_zip_cleanup
_warc_read,libarchive,_warc_read
strncat_from_utf8_libarchive2,libarchive,strncat_from_utf8_libarchive2
archive_string_append_from_wcs,libarchive,archive_string_append_from_wcs
get_uncompressed_data,libarchive,get_uncompressed_data
