function,lib,name
xmlDictComputeFastKey,libxml2,xmlDictComputeFastKey
parseAndPrintFile,xmllint,parseAndPrintFile
xmlParseElementChildrenContentDeclPriv_0,libxml2,xmlParseElementChildrenContentDeclPriv_0
xmlParsePI,libxml2,xmlParsePI
xmlBufAdd,libxml2,xmlBufAdd
xmlBufferAdd,libxml2,xmlBufferAdd
xmlCreateEntity,libxml2,xmlCreateEntity
xmlParsePEReference,libxml2,xmlParsePEReference
xmlBufCat,libxml2,xmlBufCat
xmlParseReference,libxml2,xmlParseReference
xmlSAX2ExternalSubset,libxml2,xmlSAX2ExternalSubset
xmlBufResize,libxml2,xmlBufResize
xmlFreeEntity,libxml2,xmlFreeEntity
xmlParseCDSect,libxml2,xmlParseCDSect
xmlBufferCat,libxml2,xmlBufferCat
xmlBufGrowInternal,libxml2,xmlBufGrowInternal
xmlStaticCopyNodeList,libxml2,xmlStaticCopyNodeList
xmlValidNormalizeString,libxml2,xmlValidNormalizeString
xmlSkipBlankChars,libxml2,xmlSkipBlankChars
xz_decomp,libxml2,xz_decomp
xmlParserEntityCheck,libxml2,xmlParserEntityCheck
xmlValidCtxtNormalizeAttributeValue,libxml2,xmlValidCtxtNormalizeAttributeValue
xmlSchemaFixupComplexType,libxml2,xmlSchemaFixupComplexType
xmlXIncludeDoProcess,libxml2,xmlXIncludeDoProcess
xmlParseSystemLiteral,libxml2,xmlParseSystemLiteral
xmlSchemaPreRun,libxml2,xmlSchemaPreRun
xmlParseNCName,libxml2,xmlParseNCName
xmlParsePubidLiteral,libxml2,xmlParsePubidLiteral
xmlXPathCompOpEval_0,libxml2,xmlXPathCompOpEval_0
xmlStringLenDecodeEntities,libxml2,xmlStringLenDecodeEntities
xmlBufCreateSize,libxml2,xmlBufCreateSize
xmlBufferCreateSize,libxml2,xmlBufferCreateSize
xmlNewDocNodeEatName,libxml2,xmlNewDocNodeEatName
xmlAddID,libxml2,xmlAddID
xmlBufferResize,libxml2,xmlBufferResize
xmlParseName,libxml2,xmlParseName
xmlParseEntityValue,libxml2,xmlParseEntityValue
xmlCreatePushParserCtxt,libxml2,xmlCreatePushParserCtxt
xmlStringGetNodeList,libxml2,xmlStringGetNodeList
xmlNewPropInternal,libxml2,xmlNewPropInternal
xmlParseBalancedChunkMemoryRecover,libxml2,xmlParseBalancedChunkMemoryRecover
xmlParseAttValueInternal,libxml2,xmlParseAttValueInternal
xmlValidNormalizeAttributeValue,libxml2,xmlValidNormalizeAttributeValue
xmlParseNmtoken,libxml2,xmlParseNmtoken
xmlAddRef,libxml2,xmlAddRef
xmlEncodeEntitiesInternal,libxml2,xmlEncodeEntitiesInternal
xmlBufferGrow,libxml2,xmlBufferGrow
xmlParseComment,libxml2,xmlParseComment
xmlHaltParser,libxml2,xmlHaltParser
xmlRemoveID,libxml2,xmlRemoveID
xmlParseStringName,libxml2,xmlParseStringName
xmlBufferCreateStatic,libxml2,xmlBufferCreateStatic
xmlHTMLEncodeSend,xmllint,xmlHTMLEncodeSend
