function,lib,name
xmlBufferResize,libxml2,xmlBufferResize
xmlSchemaFixupComplexType,libxml2,xmlSchemaFixupComplexType
parseAndPrintFile,xmllint,parseAndPrintFile
xmlValidCtxtNormalizeAttributeValue,libxml2,xmlValidCtxtNormalizeAttributeValue
xmlParseComment,libxml2,xmlParseComment
xmlBufCreateSize,libxml2,xmlBufCreateSize
xmlStringGetNodeList,libxml2,xmlStringGetNodeList
xmlNewDocNodeEatName,libxml2,xmlNewDocNodeEatName
xmlParserEntityCheck,libxml2,xmlParserEntityCheck
xmlParseCDSect,libxml2,xmlParseCDSect
xmlDictComputeFastKey,libxml2,xmlDictComputeFastKey
xmlNewPropInternal,libxml2,xmlNewPropInternal
xmlParseNCName,libxml2,xmlParseNCName
xmlValidNormalizeAttributeValue,libxml2,xmlValidNormalizeAttributeValue
xmlAddRef,libxml2,xmlAddRef
xmlParseName,libxml2,xmlParseName
xmlValidNormalizeString,libxml2,xmlValidNormalizeString
xmlBufGrowInternal,libxml2,xmlBufGrowInternal
xmlParseElementChildrenContentDeclPriv_0,libxml2,xmlParseElementChildrenContentDeclPriv_0
xmlBufCat,libxml2,xmlBufCat
xmlBufResize,libxml2,xmlBufResize
xmlParsePI,libxml2,xmlParsePI
xmlStaticCopyNodeList,libxml2,xmlStaticCopyNodeList
xmlParsePEReference,libxml2,xmlParsePEReference
xmlSchemaPreRun,libxml2,xmlSchemaPreRun
xmlFreeEntity,libxml2,xmlFreeEntity
xmlAddID,libxml2,xmlAddID
xmlParseStringName,libxml2,xmlParseStringName
xmlStringLenDecodeEntities,libxml2,xmlStringLenDecodeEntities
xmlHTMLEncodeSend,xmllint,xmlHTMLEncodeSend
xmlParseNmtoken,libxml2,xmlParseNmtoken
xmlParseAttValueInternal,libxml2,xmlParseAttValueInternal
xmlBufferCreateSize,libxml2,xmlBufferCreateSize
xmlXIncludeDoProcess,libxml2,xmlXIncludeDoProcess
xmlBufferCreateStatic,libxml2,xmlBufferCreateStatic
xmlBufAdd,libxml2,xmlBufAdd
xmlRemoveID,libxml2,xmlRemoveID
xmlParsePubidLiteral,libxml2,xmlParsePubidLiteral
xmlSkipBlankChars,libxml2,xmlSkipBlankChars
xmlParseReference,libxml2,xmlParseReference
xmlBufferCat,libxml2,xmlBufferCat
xmlParseEntityValue,libxml2,xmlParseEntityValue
xmlCreateEntity,libxml2,xmlCreateEntity
xmlCreatePushParserCtxt,libxml2,xmlCreatePushParserCtxt
xmlEncodeEntitiesInternal,libxml2,xmlEncodeEntitiesInternal
xmlParseSystemLiteral,libxml2,xmlParseSystemLiteral
xmlSAX2ExternalSubset,libxml2,xmlSAX2ExternalSubset
xmlBufferGrow,libxml2,xmlBufferGrow
xmlBufferAdd,libxml2,xmlBufferAdd
