function,lib,name
xmlSAX2ExternalSubset,libxml2,xmlSAX2ExternalSubset
xmlEncodeEntitiesInternal,libxml2,xmlEncodeEntitiesInternal
xmlBufferCreateSize,libxml2,xmlBufferCreateSize
xmlBufferGrow,libxml2,xmlBufferGrow
xmlParsePEReference,libxml2,xmlParsePEReference
xmlBufGrowInternal,libxml2,xmlBufGrowInternal
xmlBufAdd,libxml2,xmlBufAdd
xmlSchemaPreRun,libxml2,xmlSchemaPreRun
xmlParseNCName,libxml2,xmlParseNCName
xmlNewPropInternal,libxml2,xmlNewPropInternal
xmlAddID,libxml2,xmlAddID
xmlStaticCopyNodeList,libxml2,xmlStaticCopyNodeList
xmlParseName,libxml2,xmlParseName
parseAndPrintFile,xmllint,parseAndPrintFile
xmlParsePubidLiteral,libxml2,xmlParsePubidLiteral
xmlStringGetNodeList,libxml2,xmlStringGetNodeList
xmlParseElementChildrenContentDeclPriv_0,libxml2,xmlParseElementChildrenContentDeclPriv_0
xmlSkipBlankChars,libxml2,xmlSkipBlankChars
xmlBufResize,libxml2,xmlBufResize
xmlParseComment,libxml2,xmlParseComment
xmlRemoveID,libxml2,xmlRemoveID
xmlDictComputeFastKey,libxml2,xmlDictComputeFastKey
xmlValidNormalizeAttributeValue,libxml2,xmlValidNormalizeAttributeValue
xmlParseEntityValue,libxml2,xmlParseEntityValue
xmlBufferResize,libxml2,xmlBufferResize
xmlParseAttValueInternal,libxml2,xmlParseAttValueInternal
xmlParseSystemLiteral,libxml2,xmlParseSystemLiteral
xmlBufferCat,libxml2,xmlBufferCat
xmlParseReference,libxml2,xmlParseReference
xmlCreateEntity,libxml2,xmlCreateEntity
xmlNewDocNodeEatName,libxml2,xmlNewDocNodeEatName
xmlBufferCreateStatic,libxml2,xmlBufferCreateStatic
xmlParserEntityCheck,libxml2,xmlParserEntityCheck
xmlParseStringName,libxml2,xmlParseStringName
xmlParseCDSect,libxml2,xmlParseCDSect
xmlStringLenDecodeEntities,libxml2,xmlStringLenDecodeEntities
xmlParseNmtoken,libxml2,xmlParseNmtoken
xmlBufCreateSize,libxml2,xmlBufCreateSize
xmlParsePI,libxml2,xmlParsePI
xmlAddRef,libxml2,xmlAddRef
xmlBufferAdd,libxml2,xmlBufferAdd
xmlValidNormalizeString,libxml2,xmlValidNormalizeString
xmlHTMLEncodeSend,xmllint,xmlHTMLEncodeSend
xmlFreeEntity,libxml2,xmlFreeEntity
xmlSchemaFixupComplexType,libxml2,xmlSchemaFixupComplexType
xmlValidCtxtNormalizeAttributeValue,libxml2,xmlValidCtxtNormalizeAttributeValue
xmlXIncludeDoProcess,libxml2,xmlXIncludeDoProcess
xmlCreatePushParserCtxt,libxml2,xmlCreatePushParserCtxt
xmlBufCat,libxml2,xmlBufCat
