function,lib,name
xmlDetectSAX2,libxml2,xmlDetectSAX2
xmlParseName,libxml2,xmlParseName
xmlDictComputeFastKey,libxml2,xmlDictComputeFastKey
xmlParseComment,libxml2,xmlParseComment
xmlSchemaFixupComplexType,libxml2,xmlSchemaFixupComplexType
xmlParseAttValueInternal,libxml2,xmlParseAttValueInternal
xmlParseEntityValue,libxml2,xmlParseEntityValue
xmlTextReaderRead,libxml2,xmlTextReaderRead
xmlParseStringName,libxml2,xmlParseStringName
xmlParseSystemLiteral,libxml2,xmlParseSystemLiteral
xmlCreateEntity,libxml2,xmlCreateEntity
xmlParseNCName,libxml2,xmlParseNCName
xmlParseNmtoken,libxml2,xmlParseNmtoken
xmlCtxtUseOptionsInternal,libxml2,xmlCtxtUseOptionsInternal
xmlFreeEntity,libxml2,xmlFreeEntity
xmlStaticCopyNodeList,libxml2,xmlStaticCopyNodeList
xmlSAXVersion,libxml2,xmlSAXVersion
xmlParsePubidLiteral,libxml2,xmlParsePubidLiteral
xmlParseCDSect,libxml2,xmlParseCDSect
xmlParsePI,libxml2,xmlParsePI
