function,lib,name
xmlParsePubidLiteral,libxml2,xmlParsePubidLiteral
xmlSchemaFixupComplexType,libxml2,xmlSchemaFixupComplexType
xmlBufferAdd,libxml2,xmlBufferAdd
xmlBufGrowInternal,libxml2,xmlBufGrowInternal
xmlBufferResize,libxml2,xmlBufferResize
xmlFreeEntity,libxml2,xmlFreeEntity
xmlParseNCName,libxml2,xmlParseNCName
xmlParseName,libxml2,xmlParseName
xmlBufferCreateSize,libxml2,xmlBufferCreateSize
xmlBufCreateSize,libxml2,xmlBufCreateSize
xmlParsePI,libxml2,xmlParsePI
xmlParseAttValueInternal,libxml2,xmlParseAttValueInternal
xmlBufferGrow,libxml2,xmlBufferGrow
xmlTextReaderRead,libxml2,xmlTextReaderRead
xmlParseCDSect,libxml2,xmlParseCDSect
xmlBufferCCat,libxml2,xmlBufferCCat
xmlParseStringName,libxml2,xmlParseStringName
xmlParseEntityValue,libxml2,xmlParseEntityValue
xmlBufResize,libxml2,xmlBufResize
xmlCtxtUseOptionsInternal,libxml2,xmlCtxtUseOptionsInternal
xmlDetectSAX2,libxml2,xmlDetectSAX2
xmlBufferCreateStatic,libxml2,xmlBufferCreateStatic
xmlDictComputeFastKey,libxml2,xmlDictComputeFastKey
xmlParseComment,libxml2,xmlParseComment
xmlSAXVersion,libxml2,xmlSAXVersion
xmlStaticCopyNodeList,libxml2,xmlStaticCopyNodeList
xmlBufCCat,libxml2,xmlBufCCat
xmlParseSystemLiteral,libxml2,xmlParseSystemLiteral
xmlParseNmtoken,libxml2,xmlParseNmtoken
xmlBufAdd,libxml2,xmlBufAdd
xmlCreateEntity,libxml2,xmlCreateEntity
