function,lib,name
cvtchar,libtic,cvtchar
_nc_save_str,libtic,_nc_save_str
_nc_parse_entry,libtic,_nc_parse_entry
main,tput,main
tparm_type,tic,tparm_type
usage,tput,usage
tparm,libtinfo,tparm
tiparm,libtinfo,tiparm
check_string_caps,libtinfo,check_string_caps
_nc_tiparm,libtinfo,_nc_tiparm
_nc_read_termtype,libtinfo,_nc_read_termtype
tgoto,libtinfo,tgoto
tput_cmd,tput,tput_cmd
check_1_infotocap,tic,check_1_infotocap
convert_strings,libtinfo,convert_strings
_nc_init_entry,libtic,_nc_init_entry
guess_tparm_type,tic,guess_tparm_type
