function,lib,name
_nc_parse_entry,libncursesw,_nc_parse_entry
guess_tparm_type,libncursesw,guess_tparm_type
tput_cmd,libncursesw,tput_cmd
_nc_read_termtype,libncursesw,_nc_read_termtype
usage,libncursesw,usage
_nc_init_entry,libncursesw,_nc_init_entry
tparm_type,libncursesw,tparm_type
tparm,libncursesw,tparm
check_string_caps,libncursesw,check_string_caps
_nc_tiparm,libncursesw,_nc_tiparm
main,libncursesw,main
check_1_infotocap,libncursesw,check_1_infotocap
_nc_save_str,libncursesw,_nc_save_str
convert_strings,libncursesw,convert_strings
cvtchar,libncursesw,cvtchar
tiparm,libncursesw,tiparm
tgoto,libncursesw,tgoto
