function,lib,name
usage,tput,usage
guess_tparm_type,tic,guess_tparm_type
main,tput,main
tparm,libtinfo,tparm
_nc_parse_entry,libtic,_nc_parse_entry
check_string_caps,libtinfo,check_string_caps
tput_cmd,tput,tput_cmd
_nc_read_termtype,libtinfo,_nc_read_termtype
tparm_type,tic,tparm_type
tgoto,libtinfo,tgoto
_nc_tiparm,libtinfo,_nc_tiparm
_nc_save_str,libtic,_nc_save_str
tiparm,libtinfo,tiparm
_nc_init_entry,libtic,_nc_init_entry
check_1_infotocap,tic,check_1_infotocap
convert_strings,libtinfo,convert_strings
