function,lib,name
kex_names_cat,ssh,kex_names_cat
sshpkt_disconnect,ssh,sshpkt_disconnect
input_userauth_ext_info,ssh,input_userauth_ext_info
kex_proposal_populate_entries,ssh,kex_proposal_populate_entries
sshsk_sign,ssh,sshsk_sign
sink,scp,sink
update_progress_meter,scp,update_progress_meter
ssh_packet_send2_wrapped,ssh,ssh_packet_send2_wrapped
handle_conn_read,ssh,handle_conn_read
ssh_packet_read_poll_seqnr,ssh,ssh_packet_read_poll_seqnr
compat_cipher_proposal,sshd,compat_cipher_proposal
start_progress_meter,scp,start_progress_meter
ssh_kex2,ssh,ssh_kex2
pkcs11_terminate,ssh,pkcs11_terminate
parse_key_constraints,ssh-agent,parse_key_constraints
pkcs11_init,ssh,pkcs11_init
sshsk_load_resident,ssh,sshsk_load_resident
sshsk_enroll,ssh,sshsk_enroll
ssh_packet_read_seqnr,ssh,ssh_packet_read_seqnr
lib_contains_symbol,ssh,lib_contains_symbol
scpio,scp,scpio
pkcs11_add_provider,ssh,pkcs11_add_provider
get_msg_extended,sftp,get_msg_extended
atomicio6,scp,atomicio6
tolocal,scp,tolocal
ecdsa_do_sign,ssh,ecdsa_do_sign
ssh_userauth2,ssh,ssh_userauth2
pkcs11_del_provider,ssh,pkcs11_del_provider
sig_alarm,scp,sig_alarm
note_err,scp,note_err
subprocess,sshd,subprocess
send_msg,sftp,send_msg
kex_protocol_error,ssh,kex_protocol_error
main,scp,main
input_userauth_success,ssh,input_userauth_success
sftpio,sftp,sftpio
compat_kex_proposal,sshd,compat_kex_proposal
ssh_packet_read_expect,ssh,ssh_packet_read_expect
ssh_packet_read_poll2,ssh,ssh_packet_read_poll2
sig_winch,scp,sig_winch
kex_input_kexinit,ssh,kex_input_kexinit
compat_pkalg_proposal,sshd,compat_pkalg_proposal
atomiciov6,scp,atomiciov6
refresh_progress_meter,scp,refresh_progress_meter
kex_input_ext_info,ssh,kex_input_ext_info
