function,lib,name
rsa_finish,ssh-agent,rsa_finish
note_err,scp,note_err
recv_msg,ssh-agent,recv_msg
lib_contains_symbol,ssh-agent,lib_contains_symbol
sink,scp,sink
helper_terminate,ssh-agent,helper_terminate
kex_names_cat,ssh,kex_names_cat
subprocess,sshd,subprocess
helper_by_ec,ssh-agent,helper_by_ec
kex_protocol_error,ssh,kex_protocol_error
helper_by_provider,ssh-agent,helper_by_provider
sshsk_sign,ssh-agent,sshsk_sign
ssh_userauth2,ssh,ssh_userauth2
sshsk_load_resident,ssh-agent,sshsk_load_resident
compat_pkalg_proposal,sshd,compat_pkalg_proposal
input_userauth_success,ssh,input_userauth_success
parse_key_constraints,ssh-agent,parse_key_constraints
sshpkt_disconnect,ssh,sshpkt_disconnect
input_userauth_ext_info,ssh,input_userauth_ext_info
pkcs11_terminate,ssh-agent,pkcs11_terminate
ecdsa_do_sign,ssh-agent,ecdsa_do_sign
sshsk_enroll,ssh-agent,sshsk_enroll
kex_proposal_populate_entries,ssh,kex_proposal_populate_entries
ssh_packet_read_seqnr,ssh,ssh_packet_read_seqnr
rsa_encrypt,ssh-agent,rsa_encrypt
ssh_packet_read_poll2,ssh,ssh_packet_read_poll2
compat_cipher_proposal,sshd,compat_cipher_proposal
ssh_kex2,ssh,ssh_kex2
helper_by_rsa,ssh-agent,helper_by_rsa
ecdsa_do_finish,ssh-agent,ecdsa_do_finish
compat_kex_proposal,sshd,compat_kex_proposal
kex_input_ext_info,ssh,kex_input_ext_info
kex_input_kexinit,ssh,kex_input_kexinit
pkcs11_del_provider,ssh-agent,pkcs11_del_provider
ssh_packet_read_poll_seqnr,ssh,ssh_packet_read_poll_seqnr
handle_conn_read,ssh-agent,handle_conn_read
ssh_packet_send2_wrapped,ssh,ssh_packet_send2_wrapped
ssh_packet_read_expect,ssh,ssh_packet_read_expect
main,ssh,main
pkcs11_init,ssh-agent,pkcs11_init
pkcs11_add_provider,ssh-agent,pkcs11_add_provider
