CVE-2023-46218,8.5.0,Curl_cookie_add
CVE-2023-38546,8.4.0,curl_easy_duphandle
CVE-2023-38545,8.4.0,socks_proxy_cf_connect
CVE-2023-28322,8.1.0,ftp_state_prepare_transfer
CVE-2023-28322,8.1.0,ftp_done
CVE-2023-28322,8.1.0,ftp_do_more
CVE-2023-28322,8.1.0,ftp_parse_url_path
CVE-2023-28322,8.1.0,Curl_http_method
CVE-2023-28322,8.1.0,Curl_http_body
CVE-2023-28322,8.1.0,Curl_vsetopt
CVE-2023-28322,8.1.0,smtp_done
CVE-2023-28322,8.1.0,tftp_send_first
CVE-2023-28322,8.1.0,Curl_init_CONNECT
CVE-2023-28322,8.1.0,Curl_follow
CVE-2023-28322,8.1.0,Curl_retry_request
CVE-2023-28322,8.1.0,ssh_statemach_act
CVE-2023-28321,8.1.0,Curl_cert_hostcheck
CVE-2023-28320,8.1.0,Curl_resolv_timeout
CVE-2023-27538,8.0.0,ConnectionExists
CVE-2023-27536,8.0.0,ConnectionExists
CVE-2023-27536,8.0.0,allocate_conn
CVE-2023-27535,8.0.0,ftp_disconnect
CVE-2023-27535,8.0.0,ConnectionExists
CVE-2023-27535,8.0.0,ftp_setup_connection
CVE-2023-27535,8.0.0,Curl_vsetopt
CVE-2023-27533,8.0.0,check_telnet_options
CVE-2023-27533,8.0.0,printsub
CVE-2023-23916,7.88.0,Curl_build_unencoding_stack
CVE-2022-43552,7.87.0,smb_connect
CVE-2022-43552,7.87.0,telnet_done
CVE-2022-43552,7.87.0,smb_request_state
CVE-2022-32221,7.86.0,Curl_vsetopt
CVE-2022-35252,7.85.0,Curl_cookie_add
CVE-2022-35252,7.85.0,bad_domain
CVE-2022-32208,7.84.0,read_data
CVE-2022-32208,7.84.0,krb5_decode
CVE-2022-32207,7.84.0,AC_CHECK_DECLS
CVE-2022-32207,7.84.0,elseif
CVE-2022-32207,7.84.0,cookie_output
CVE-2022-32206,7.84.0,find_encoding
CVE-2022-32206,7.84.0,Curl_build_unencoding_stack
CVE-2022-27782,7.83.1,prune_dead_connections
CVE-2022-27782,7.83.1,ConnectionExists
CVE-2022-27781,7.83.1,display_cert_info
CVE-2022-27781,7.83.1,display_conn_info
CVE-2022-27776,7.83.0,Curl_http_host
CVE-2022-27776,7.83.0,output_auth_headers
CVE-2022-27776,7.83.0,Curl_add_custom_headers
CVE-2022-27776,7.83.0,Curl_http_output_auth
CVE-2022-27775,7.83.0,hashkey
CVE-2022-27774,7.83.0,ossl_connect_step1
CVE-2022-27774,7.83.0,output_auth_headers
CVE-2022-27774,7.83.0,Curl_add_custom_headers
CVE-2022-27774,7.83.0,Curl_http_output_auth
CVE-2022-22576,7.83.0,create_conn
CVE-2022-22576,7.83.0,ConnectionExists
CVE-2022-22576,7.83.0,Curl_ssl_config_matches
CVE-2022-22576,7.83.0,Curl_strntolower
CVE-2022-22576,7.83.0,Curl_raw_toupper
CVE-2022-22576,7.83.0,conn_free
CVE-2022-22576,7.83.0,blobcmp
CVE-2021-22947,7.79.0,pop3_state_starttls_resp
CVE-2021-22947,7.79.0,ftp_statemachine
CVE-2021-22947,7.79.0,smtp_state_starttls_resp
CVE-2021-22947,7.79.0,imap_state_starttls_resp
CVE-2021-22946,7.79.0,ftp_statemachine
CVE-2021-22946,7.79.0,imap_state_capability_resp
CVE-2021-22946,7.79.0,pop3_state_capa_resp
CVE-2021-22926,7.78.0,sectransp_connect_step1
CVE-2021-22925,7.78.0,suboption
CVE-2021-22924,7.78.0,gtls_connect_step3
CVE-2021-22924,7.78.0,create_conn
CVE-2021-22924,7.78.0,Curl_free_primary_ssl_config
CVE-2021-22924,7.78.0,nss_do_connect
CVE-2021-22924,7.78.0,Curl_clone_primary_ssl_config
CVE-2021-22924,7.78.0,Curl_ssl_config_matches
CVE-2021-22924,7.78.0,servercert
CVE-2021-22924,7.78.0,blobcmp
CVE-2021-22923,7.78.0,AC_MSG_NOTICE
CVE-2021-22922,7.78.0,AC_MSG_NOTICE
CVE-2021-22898,7.77.0,suboption
CVE-2021-22897,7.77.0,get_alg_id_by_name
CVE-2021-22897,7.77.0,schannel_connect_step1
CVE-2021-22897,7.77.0,Curl_verify_certificate
CVE-2021-22890,7.76.0,ossl_init
CVE-2021-22890,7.76.0,sectransp_connect_step1
CVE-2021-22890,7.76.0,schannel_connect_step1
CVE-2021-22890,7.76.0,Curl_ssl_delsessionid
CVE-2021-22890,7.76.0,ossl_new_session_cb
