CVE-2022-1304,1.46.5,ext2fs_extent_delete
CVE-2019-5188,1.45.5,fill_dir_block
CVE-2019-5188,1.45.5,duplicate_search_and_fix
CVE-2019-5094,1.45.4,v2_init_io
CVE-2019-5094,1.45.4,v2_check_file
CVE-2019-5094,1.45.4,quota_compare_and_update
CVE-2019-5094,1.45.4,qtree_read_dquot
CVE-2019-5094,1.45.4,report_block
CVE-2019-5094,1.45.4,report_tree
CVE-2019-5094,1.45.4,qtree_scan_dquots
CVE-2015-1572,1.42.12,ext2fs_flush2
CVE-2015-0247,1.42.12,ext2fs_flush2
CVE-2015-0247,1.42.12,ext2fs_open2
CVE-2007-5497,1.40.3,ext2fs_block_iterate2
CVE-2007-5497,1.40.3,ext2fs_open_inode_scan
CVE-2007-5497,1.40.3,ext2fs_write_bb_FILE
CVE-2007-5497,1.40.3,ext2fs_create_icount2
CVE-2007-5497,1.40.3,ext2fs_flush
CVE-2007-5497,1.40.3,make_dblist
CVE-2007-5497,1.40.3,make_u32_list
CVE-2007-5497,1.40.3,ext2fs_move_blocks
CVE-2007-5497,1.40.3,ext2fs_irel_memarray_create
CVE-2007-5497,1.40.3,create_icache
CVE-2007-5497,1.40.3,ext2fs_brel_memarray_create
CVE-2007-5497,1.40.3,ext2fs_get_mem
CVE-2007-5497,1.40.3,ima_add_ref
CVE-2007-5497,1.40.3,ext2fs_open2
CVE-2007-5497,1.40.3,ext2fs_bmap
CVE-2007-5497,1.40.3,ext2fs_file_open2
CVE-2007-5497,1.40.3,ext2fs_dup_handle
CVE-2007-5497,1.40.3,ext2fs_update_bb_inode
CVE-2007-5497,1.40.3,ext2fs_create_resize_inode
