CVE-2018-20843,2.2.7,setElementTypePrefix
CVE-2019-15903,2.2.8,START_TEST
CVE-2019-15903,2.2.8,internalEntityProcessor
CVE-2019-15903,2.2.8,externalParEntProcessor
CVE-2019-15903,2.2.8,doProlog
CVE-2019-15903,2.2.8,prologProcessor
CVE-2019-15903,2.2.8,initializeEncoding
CVE-2019-15903,2.2.8,make_suite
CVE-2019-15903,2.2.8,processInternalEntity
CVE-2021-45960,2.4.3,storeAtts
CVE-2021-46143,2.4.3,doProlog
CVE-2022-22822,2.4.3,addBinding
CVE-2022-22822,2.4.3,defineAttribute
CVE-2022-22822,2.4.3,nextScaffoldPart
CVE-2022-22822,2.4.3,build_model
CVE-2022-22822,2.4.3,lookup
CVE-2022-22822,2.4.3,storeAtts
CVE-2022-22824,2.4.3,addBinding
CVE-2022-22824,2.4.3,defineAttribute
CVE-2022-22824,2.4.3,nextScaffoldPart
CVE-2022-22824,2.4.3,build_model
CVE-2022-22824,2.4.3,lookup
CVE-2022-22824,2.4.3,storeAtts
CVE-2022-23852,2.4.4,START_TEST
CVE-2022-23852,2.4.4,make_suite
CVE-2022-23852,2.4.4,XML_GetBuffer
CVE-2022-23990,2.4.4,doProlog
CVE-2022-25235,2.4.5,START_TEST
CVE-2022-25235,2.4.5,make_suite
CVE-2022-25235,2.4.5,PREFIX
CVE-2022-25236,2.4.5,addBinding
CVE-2022-25236,2.4.5,START_TEST
CVE-2022-25236,2.4.5,XML_ParserCreate
CVE-2022-25236,2.4.5,make_suite
CVE-2022-25236,2.4.5,XML_ExternalEntityParserCreate
CVE-2022-40674,2.4.9,START_TEST
CVE-2022-40674,2.4.9,make_suite
CVE-2022-43680,2.5.0,START_TEST
CVE-2022-43680,2.5.0,make_suite
CVE-2022-43680,2.5.0,parserCreate
