CVE-2016-2381,5.23.9,S_init_postdump_symbols
CVE-2018-18311,5.26.3,Perl_new_warnings_bitfield
CVE-2018-18311,5.26.3,Perl_my_setenv
CVE-2018-18313,5.26.3,S_regclass
CVE-2018-18313,5.26.3,S_regatom
CVE-2018-18313,5.26.3,S_grok_bslash_N
CVE-2018-18314,5.26.3,mark_as_utf8
CVE-2018-18314,5.26.3,S_handle_regex_sets
CVE-2020-10543,5.30.3,S_study_chunk
CVE-2020-10878,5.30.3,Perl_re_printf
CVE-2020-10878,5.30.3,Perl_parse_uniprop_string
CVE-2020-10878,5.30.3,S_study_chunk
CVE-2020-10878,5.30.3,S_unwind_scan_frames
CVE-2020-12723,5.30.3,Perl_re_printf
CVE-2020-12723,5.30.3,scan_frame
CVE-2020-12723,5.30.3,S_study_chunk
CVE-2020-12723,5.30.3,BEGIN
CVE-2020-12723,5.30.3,S_ssc_union
CVE-2020-12723,5.30.3,Perl_re_op_compile
