CVE-2023-46218,8.5.0,Curl_cookie_add
CVE-2023-38546,8.4.0,curl_easy_duphandle
CVE-2023-38546,8.4.0,Curl_cookie_add
CVE-2023-38546,8.4.0,Curl_cookie_init
CVE-2023-38546,8.4.0,Curl_cookie_cleanup
CVE-2023-38545,8.4.0,socks_proxy_cf_connect
CVE-2023-38545,8.4.0,do_SOCKS5
CVE-2023-28322,8.1.0,ftp_state_prepare_transfer
CVE-2023-28322,8.1.0,ftp_done
CVE-2023-28322,8.1.0,ftp_do_more
CVE-2023-28322,8.1.0,ftp_parse_url_path
CVE-2023-28322,8.1.0,Curl_http_method
CVE-2023-28322,8.1.0,Curl_http_body
CVE-2023-28322,8.1.0,rtsp_do
CVE-2023-28322,8.1.0,imap_done
CVE-2023-28322,8.1.0,Curl_vsetopt
CVE-2023-28322,8.1.0,smtp_done
CVE-2023-28322,8.1.0,tftp_send_first
CVE-2023-28322,8.1.0,Curl_init_CONNECT
CVE-2023-28322,8.1.0,Curl_follow
CVE-2023-28322,8.1.0,Curl_retry_request
CVE-2023-28322,8.1.0,file_connect
CVE-2023-28322,8.1.0,file_do
CVE-2023-28321,8.1.0,Curl_cert_hostcheck
CVE-2023-28320,8.1.0,Curl_resolv_timeout
CVE-2023-27538,8.0.0,Curl_connect
CVE-2023-27536,8.0.0,Curl_connect
CVE-2023-27535,8.0.0,Curl_connect
CVE-2023-27535,8.0.0,Curl_vsetopt
CVE-2023-27535,8.0.0,ftp_disconnect
CVE-2023-27535,8.0.0,ftp_setup_connection
CVE-2023-27534,8.0.0,Curl_getworkingpath
CVE-2023-27533,8.0.0,check_telnet_options
CVE-2023-23916,7.88.0,Curl_build_unencoding_stack
CVE-2022-43552,7.87.0,telnet_done
CVE-2022-32221,7.86.0,Curl_vsetopt
CVE-2022-35252,7.85.0,Curl_cookie_add
CVE-2022-32208,7.84.0,read_data
CVE-2022-32208,7.84.0,krb5_decode
CVE-2022-32207,7.84.0,Curl_flush_cookies
CVE-2022-32207,7.84.0,Curl_fopen
CVE-2022-32206,7.84.0,Curl_build_unencoding_stack
CVE-2022-27782,7.83.1,Curl_connect
CVE-2022-27781,7.83.1,display_conn_info
CVE-2022-27776,7.83.0,Curl_http_host
CVE-2022-27776,7.83.0,allow_auth_to_host
CVE-2022-27776,7.83.0,Curl_add_custom_headers
CVE-2022-27776,7.83.0,Curl_http_output_auth
CVE-2022-27775,7.83.0,Curl_conncache_find_bundle
CVE-2022-27775,7.83.0,Curl_conncache_add_conn
CVE-2022-27774,7.83.0,Curl_allow_auth_to_host
CVE-2022-27774,7.83.0,Curl_add_custom_headers
CVE-2022-27774,7.83.0,Curl_http_output_auth
CVE-2022-27774,7.83.0,ossl_connect_step1
CVE-2022-27774,7.83.0,allow_auth_to_host
CVE-2022-22576,7.83.0,Curl_connect
CVE-2022-22576,7.83.0,Curl_ssl_config_matches
CVE-2022-22576,7.83.0,Curl_safecmp
CVE-2022-22576,7.83.0,conn_free
CVE-2022-22576,7.83.0,safecmp
CVE-2021-22947,7.79.0,ftp_statemachine
CVE-2021-22946,7.79.0,ftp_statemachine
CVE-2021-22926,7.78.0,sectransp_connect_step1
CVE-2021-22925,7.78.0,suboption
CVE-2021-22924,7.78.0,Curl_connect
CVE-2021-22924,7.78.0,Curl_free_primary_ssl_config
CVE-2021-22924,7.78.0,Curl_clone_primary_ssl_config
CVE-2021-22924,7.78.0,Curl_ssl_config_matches
CVE-2021-22924,7.78.0,safecmp
CVE-2021-22924,7.78.0,gtls_connect_step3
CVE-2021-22923,7.78.0,getparameter
CVE-2021-22923,7.78.0,tool_version_info
CVE-2021-22923,7.78.0,post_per_transfer
CVE-2021-22923,7.78.0,create_transfer
CVE-2021-22922,7.78.0,getparameter
CVE-2021-22922,7.78.0,tool_version_info
CVE-2021-22922,7.78.0,post_per_transfer
CVE-2021-22922,7.78.0,create_transfer
CVE-2021-22898,7.77.0,suboption
CVE-2021-22897,7.77.0,schannel_connect_step1
CVE-2021-22897,7.77.0,set_ssl_ciphers
CVE-2021-22890,7.76.0,Curl_ssl_addsessionid
CVE-2021-22890,7.76.0,Curl_ssl_getsessionid
CVE-2021-22890,7.76.0,gtls_connect_step3
CVE-2021-22876,7.76.0,Curl_follow
CVE-2020-8286,7.74.0,servercert
CVE-2020-8285,7.74.0,ftp_do
CVE-2020-8284,7.74.0,config_init
CVE-2020-8284,7.74.0,Curl_init_userdefined
CVE-2020-8231,7.72.0,curl_easy_duphandle
CVE-2020-8231,7.72.0,curl_multi_add_handle
CVE-2020-8231,7.72.0,Curl_getconnectinfo
CVE-2020-8231,7.72.0,curl_multi_remove_handle
CVE-2020-8231,7.72.0,Curl_open
CVE-2020-8231,7.72.0,multi_done
CVE-2020-8231,7.72.0,conn_is_conn
CVE-2020-8177,7.71.0,getparameter
CVE-2020-8177,7.71.0,tool_header_cb
CVE-2020-8169,7.71.0,Curl_connect
