CVE-2023-46218,7.61.0,8.5.0,libcurl,Curl_cookie_add,Curl_cookie_add
CVE-2023-38546,7.61.0,8.4.0,libcurl,curl_easy_duphandle,curl_easy_duphandle
CVE-2023-28322,7.61.0,8.1.0,libcurl,ftp_state_prepare_transfer,ftp_state_prepare_transfer
CVE-2023-28322,7.61.0,8.1.0,libcurl,ftp_done,ftp_done
CVE-2023-28322,7.61.0,8.1.0,libcurl,ftp_do_more,ftp_do_more
CVE-2023-28322,7.61.0,8.1.0,libcurl,ftp_parse_url_path,ftp_parse_url_path
CVE-2023-28322,7.61.0,8.1.0,libcurl,Curl_http_method,Curl_http_method
CVE-2023-28322,7.61.0,8.1.0,libcurl,Curl_http_body,Curl_http_body
CVE-2023-28322,7.61.0,8.1.0,libcurl,Curl_vsetopt,Curl_vsetopt
CVE-2023-28322,7.61.0,8.1.0,libcurl,smtp_done,smtp_done
CVE-2023-28322,7.61.0,8.1.0,libcurl,tftp_send_first,tftp_send_first
CVE-2023-28322,7.61.0,8.1.0,libcurl,Curl_init_CONNECT,Curl_init_CONNECT
CVE-2023-28322,7.61.0,8.1.0,libcurl,Curl_follow,Curl_follow
CVE-2023-28322,7.61.0,8.1.0,libcurl,Curl_retry_request,Curl_retry_request
CVE-2023-28322,7.61.0,8.1.0,libcurl,ssh_statemach_act,ssh_statemach_act
CVE-2023-28321,7.61.0,8.1.0,libcurl,Curl_cert_hostcheck,Curl_cert_hostcheck
CVE-2023-28320,7.61.0,8.1.0,libcurl,Curl_resolv_timeout,Curl_resolv_timeout
CVE-2023-27538,7.61.0,8.0.0,libcurl,Curl_connect,Curl_connect
CVE-2023-27536,7.61.0,8.0.0,libcurl,Curl_connect,Curl_connect
CVE-2023-27535,7.61.0,8.0.0,libcurl,Curl_connect,Curl_connect
CVE-2023-27535,7.61.0,8.0.0,libcurl,Curl_vsetopt,Curl_vsetopt
CVE-2023-27535,7.61.0,8.0.0,libcurl,ftp_disconnect,ftp_disconnect
CVE-2023-27535,7.61.0,8.0.0,libcurl,ftp_setup_connection,ftp_setup_connection
CVE-2023-27534,7.61.0,8.0.0,libcurl,Curl_getworkingpath,Curl_getworkingpath
CVE-2023-27533,7.61.0,8.0.0,libcurl,check_telnet_options,check_telnet_options
CVE-2023-23916,7.61.0,7.88.0,libcurl,Curl_build_unencoding_stack,Curl_build_unencoding_stack
CVE-2022-43552,7.61.0,7.87.0,libcurl,smb_done,smb_done
CVE-2022-43552,7.61.0,7.87.0,libcurl,telnet_done,telnet_done
CVE-2022-32221,7.61.0,7.86.0,libcurl,Curl_vsetopt,Curl_vsetopt
CVE-2022-35252,7.61.0,7.85.0,libcurl,Curl_cookie_add,Curl_cookie_add
CVE-2022-32208,7.61.0,7.84.0,libcurl,read_data,read_data
CVE-2022-32208,7.61.0,7.84.0,libcurl,krb5_decode,krb5_decode
CVE-2022-32206,7.61.0,7.84.0,libcurl,Curl_build_unencoding_stack,Curl_build_unencoding_stack
CVE-2022-27782,7.61.0,7.83.1,libcurl,ConnectionExists,ConnectionExists
CVE-2022-27781,7.61.0,7.83.1,libcurl,display_conn_info,display_conn_info
CVE-2022-27776,7.61.0,7.83.0,libcurl,Curl_http_host,Curl_http_host
CVE-2022-27776,7.61.0,7.83.0,libcurl,Curl_allow_auth_to_host,Curl_allow_auth_to_host
CVE-2022-27776,7.61.0,7.83.0,libcurl,Curl_add_custom_headers,Curl_add_custom_headers
CVE-2022-27776,7.61.0,7.83.0,libcurl,Curl_http_output_auth,Curl_http_output_auth
CVE-2022-27774,7.61.0,7.83.0,libcurl,Curl_allow_auth_to_host,Curl_allow_auth_to_host
CVE-2022-27774,7.61.0,7.83.0,libcurl,Curl_add_custom_headers,Curl_add_custom_headers
CVE-2022-27774,7.61.0,7.83.0,libcurl,Curl_http_output_auth,Curl_http_output_auth
CVE-2022-22576,7.61.0,7.83.0,libcurl,Curl_connect,Curl_connect
CVE-2022-22576,7.61.0,7.83.0,libcurl,Curl_ssl_config_matches,Curl_ssl_config_matches
CVE-2022-22576,7.61.0,7.83.0,libcurl,Curl_safecmp,Curl_safecmp
CVE-2022-22576,7.61.0,7.83.0,libcurl,conn_free,conn_free
CVE-2022-22576,7.61.0,7.83.0,libcurl,safecmp,safecmp
CVE-2021-22947,7.61.0,7.79.0,libcurl,ftp_statemachine,ftp_statemachine
CVE-2021-22946,7.61.0,7.79.0,libcurl,ftp_statemachine,ftp_statemachine
CVE-2021-22926,7.61.0,7.78.0,libcurl,sectransp_connect_step1,sectransp_connect_step1
CVE-2021-22925,7.61.0,7.78.0,libcurl,suboption,suboption
CVE-2021-22924,7.61.0,7.78.0,libcurl,Curl_connect,Curl_connect
CVE-2021-22924,7.61.0,7.78.0,libcurl,Curl_free_primary_ssl_config,Curl_free_primary_ssl_config
CVE-2021-22924,7.61.0,7.78.0,libcurl,Curl_clone_primary_ssl_config,Curl_clone_primary_ssl_config
CVE-2021-22924,7.61.0,7.78.0,libcurl,Curl_ssl_config_matches,Curl_ssl_config_matches
CVE-2021-22924,7.61.0,7.78.0,libcurl,safecmp,safecmp
CVE-2021-22923,7.61.0,7.78.0,curl,getparameter,getparameter
CVE-2021-22923,7.61.0,7.78.0,curl,tool_version_info,tool_version_info
CVE-2021-22923,7.61.0,7.78.0,curl,post_per_transfer,post_per_transfer
CVE-2021-22923,7.61.0,7.78.0,curl,create_transfer,create_transfer
CVE-2021-22922,7.61.0,7.78.0,curl,getparameter,getparameter
CVE-2021-22922,7.61.0,7.78.0,curl,tool_version_info,tool_version_info
CVE-2021-22922,7.61.0,7.78.0,curl,post_per_transfer,post_per_transfer
CVE-2021-22922,7.61.0,7.78.0,curl,create_transfer,create_transfer
CVE-2021-22898,7.61.0,7.77.0,libcurl,suboption,suboption
CVE-2021-22897,7.61.0,7.77.0,libcurl,schannel_connect_step1,schannel_connect_step1
CVE-2021-22897,7.61.0,7.77.0,libcurl,set_ssl_ciphers,set_ssl_ciphers
CVE-2021-22876,7.61.0,7.76.0,libcurl,Curl_follow,Curl_follow
CVE-2020-8286,7.61.0,7.74.0,libcurl,servercert,servercert
CVE-2020-8285,7.61.0,7.74.0,libcurl,ftp_do,ftp_do
CVE-2020-8284,7.61.0,7.74.0,curl,config_init,config_init
CVE-2020-8284,7.61.0,7.74.0,libcurl,Curl_init_userdefined,Curl_init_userdefined
CVE-2020-8231,7.61.0,7.72.0,libcurl,curl_easy_duphandle,curl_easy_duphandle
CVE-2020-8231,7.61.0,7.72.0,libcurl,curl_multi_add_handle,curl_multi_add_handle
CVE-2020-8231,7.61.0,7.72.0,libcurl,Curl_getconnectinfo,Curl_getconnectinfo
CVE-2020-8231,7.61.0,7.72.0,libcurl,curl_multi_remove_handle,curl_multi_remove_handle
CVE-2020-8231,7.61.0,7.72.0,libcurl,Curl_open,Curl_open
CVE-2020-8231,7.61.0,7.72.0,libcurl,multi_done,multi_done
CVE-2020-8231,7.61.0,7.72.0,libcurl,conn_is_conn,conn_is_conn
CVE-2020-8177,7.61.0,7.71.0,curl,getparameter,getparameter
CVE-2020-8177,7.61.0,7.71.0,curl,tool_header_cb,tool_header_cb
CVE-2019-5481,7.61.0,7.66.0,libcurl,read_data,read_data
CVE-2019-5482,7.61.0,7.66.0,libcurl,tftp_connect,tftp_connect
CVE-2019-5436,7.61.0,7.65.0,libcurl,tftp_connect,tftp_connect
CVE-2018-16890,7.61.0,7.64.0,libcurl,ntlm_decode_type2_target,ntlm_decode_type2_target
CVE-2019-3822,7.61.0,7.64.0,libcurl,Curl_auth_create_ntlm_type3_message,Curl_auth_create_ntlm_type3_message
CVE-2019-3823,7.61.0,7.64.0,libcurl,smtp_endofresp,smtp_endofresp
CVE-2018-16842,7.61.0,7.62.0,curl,voutf.isra.0,voutf.isra.0
