XML_ExternalEntityParserCreate,libexpat,Top-25 (not max)
processInternalEntity,libexpat,Top-1 (5)
storeAtts,libexpat,Top-1 (25)
nextScaffoldPart,libexpat,Top-1 (2)
defineAttribute,libexpat,Top-1 (0)
XML_GetBuffer,libexpat,Top-25+bb_hash (15)
parserCreate,libexpat,Top-1 (3)
addBinding,libexpat,Top-25+bb_hash (2)
setElementTypePrefix,libexpat,Top-25 (not max)
internalEntityProcessor,libexpat,Top-1 (2)
doProlog,libexpat,Top-1 (117)
lookup,libexpat,Top-1 (2)
externalParEntProcessor,libexpat,Top-25 (1) (tie)
