_dbus_read_socket_with_unix_fds,libdbus,Top-25 + bb_hash 15
validate_body_helper,libdbus,Top-1 + bb_hash 28
_dbus_validate_signature_with_reason,libdbus,Top-25 + bb_hash 11
_dbus_user_database_lookup_group,dbus-daemon,Top-50 + bb_hash 4
handle_server_data_cookie_sha1_mech,libdbus,Top-1 + bb_hash 6
bus_transaction_send_from_driver,dbus-daemon,Top-50 + bb_hash 3
_dbus_user_info_free_allocated,libdbus,Top-25 + bb_hash 1 (tie)
byteswap_body_helper,libdbus,Top-1 + bb_hash 4
_dbus_user_database_new,libdbus,Top-25 + bb_hash 1
_dbus_group_info_free_allocated,libdbus,Top-25 + bb_hash 1 (tie)
_dbus_user_database_lookup,libdbus,Top-25 + bb_hash 4
