XML_GetBuffer,libexpat,Top-1 + bb_hash 25
doCdataSection,libexpat,Top-1 + bb_hash 17
storeEntityValue,libexpat,Top-1 + bb_hash 27
XML_ExternalEntityParserCreate,libexpat,Top-1 + bb_hash 3
lookup,libexpat,Top-1 + bb_hash 10
parserCreate,libexpat,Top-1 + bb_hash 7
internalEntityProcessor,libexpat,Top-1 + bb_hash 8
externalParEntProcessor,libexpat,Top-1 + bb_hash 3
processXmlDecl,libexpat,Top-1 + bb_hash 46
normal_prologTok,libexpat,Top-1 + bb_hash 88
XML_ParserCreate,libexpat,Too few basic blocks
nextScaffoldPart,libexpat,Top-1 + bb_hash 4
addBinding,libexpat,Top-1 + bb_hash 6
epilogProcessor,libexpat,Top-1 + bb_hash 24
processInternalEntity,libexpat,Top-1 + bb_hash 4
appendAttributeValue,libexpat,Top-1 + bb_hash 50
getElementType,libexpat,Top-25 + bb_hash 2
prologProcessor,libexpat,Top-25 + bb_hash 1 (tie)
defineAttribute,libexpat,Top-1 + bb_hash 10
little2_prologTok,libexpat,Top-25 + bb_hash 39
big2_prologTok,libexpat,Top-25 + bb_hash 39
setElementTypePrefix,libexpat,Top-50 + bb_hash 2 (tie)
build_node,libexpat,Top-1 + bb_hash 0
entityValueInitProcessor,libexpat,Top-1 + bb_hash 8
storeAtts,libexpat,Top-1 + bb_hash 62
doProlog,libexpat,Top-1 + bb_hash 213
storeRawNames,libexpat,Top-1 + bb_hash 5
