xmlBufferResize,libxml2,Top-25+bb_hash (15)
xmlSchemaFixupComplexType,libxml2,Top-1 (270)
parseAndPrintFile,xmllint,Top-1 (157)
xmlValidCtxtNormalizeAttributeValue,libxml2,Not Found
xmlParseComment,libxml2,Top-1 (85)
xmlBufCreateSize,libxml2,Top-1 (3)
xmlStringGetNodeList,libxml2,Top-25+bb_hash (49)
xmlNewDocNodeEatName,libxml2,Top-25+bb_hash (9)
xmlParserEntityCheck,libxml2,Top-25+bb_hash (16)
xmlParseCDSect,libxml2,Top-25+bb_hash (44)
xmlDictComputeFastKey,libxml2,Not Found
xmlNewPropInternal,libxml2,Top-25+bb_hash (21)
xmlParseNCName,libxml2,Not Found
xmlValidNormalizeAttributeValue,libxml2,Not Found
xmlAddRef,libxml2,Top-1 (11)
xmlParseName,libxml2,Top-1 (32)
xmlBufGrowInternal,libxml2,Top-25+bb_hash (7)
xmlBufCat,libxml2,Top-25+bb_hash (11)
xmlBufResize,libxml2,Top-25+bb_hash (23)
xmlParsePI,libxml2,Top-25+bb_hash (28)
xmlStaticCopyNodeList,libxml2,Top-1 (15)
xmlParsePEReference,libxml2,Not Found
xmlSchemaPreRun,libxml2,Top-1 (11)
xmlFreeEntity,libxml2,Top-25+bb_hash (32)
xmlAddID,libxml2,Not Found
xmlParseStringName,libxml2,Top-1 (15)
xmlStringLenDecodeEntities,libxml2,Top-1 (66)
xmlHTMLEncodeSend,xmllint,Top-1 (1)
xmlParseNmtoken,libxml2,Top-25+bb_hash (21)
xmlParseAttValueInternal,libxml2,Top-1 (58)
xmlBufferCreateSize,libxml2,Top-1 (4)
xmlXIncludeDoProcess,libxml2,Top-25+bb_hash (92)
xmlBufferCreateStatic,libxml2,Top-25+bb_hash (5)
xmlBufAdd,libxml2,Top-1 (17)
xmlRemoveID,libxml2,Top-25+bb_hash (4)
xmlParsePubidLiteral,libxml2,Not Found
xmlSkipBlankChars,libxml2,Not Found
xmlParseReference,libxml2,Top-25+bb_hash (72)
xmlBufferCat,libxml2,Not Found
xmlParseEntityValue,libxml2,Top-25+bb_hash (17)
xmlCreateEntity,libxml2,Not Found
xmlCreatePushParserCtxt,libxml2,Not Found
xmlEncodeEntitiesInternal,libxml2,Top-1 (34)
xmlParseSystemLiteral,libxml2,Not Found
xmlSAX2ExternalSubset,libxml2,Not Found
xmlBufferGrow,libxml2,Not Found
xmlBufferAdd,libxml2,Not Found
