xmlParseEntityValue,libxml2,Top-1 (25)
xmlBufAdd,libxml2,Top-1 (22)
xmlCreateEntity,libxml2,Top-25+bb_hash (9)
xmlNewDocNodeEatName,libxml2,Top-1 (4)
xmlEncodeEntitiesInternal,libxml2,Top-1 (35)
xmlParseNCName,libxml2,Top-400+bb_hash (20)
xmlParsePI,libxml2,Top-1 (55)
xmlNewPropInternal,libxml2,Top-25+bb_hash (28)
xmlCreatePushParserCtxt,libxml2,Top-50+bb_hash (28)
xmlStringLenDecodeEntities,libxml2,Top-1 (75)
xmlAddRef,libxml2,Top-50+bb_hash (5)
xmlBufferCreateStatic,libxml2,Top-50+bb_hash (4)
xmlSkipBlankChars,libxml2,Top-50+bb_hash (17)
xmlParsePEReference,libxml2,Top-1 (9)
xmlParseCDSect,libxml2,Top-1 (42)
xmlBufferResize,libxml2,Not Found
xmlSchemaFixupComplexType,libxml2,Top-25+bb_hash (275)
xmlDictComputeFastKey,libxml2,Top-1 (1)
xmlXIncludeDoProcess,libxml2,Top-25+bb_hash (117)
xmlBufCreateSize,libxml2,Top-50+bb_hash (2)
xmlParseAttValueInternal,libxml2,Top-1 (174)
xmlFreeEntity,libxml2,Top-1 (13)
xmlParseNmtoken,libxml2,Top-25+bb_hash (29)
xmlRemoveID,libxml2,Top-50+bb_hash (4)
xmlBufferCreateSize,libxml2,Top-100(2) (tie)
xmlSAX2ExternalSubset,libxml2,Top-100+bb_hash (4)
xmlSchemaPreRun,libxml2,Top-25+bb_hash (6)
xmlParseStringName,libxml2,Top-1 (7)
xmlValidNormalizeAttributeValue,libxml2,libxml2,Top-100(4) (tie)
xmlParseName,libxml2,Top-1 (117)
xmlStringGetNodeList,libxml2,Top-25+bb_hash (20)
xmlBufGrowInternal,libxml2,Top-400(3) (tie)
xmlBufCat,libxml2,Top-1 (13)
xmlBufferGrow,libxml2,Top-100(3) (tie)
xmlBufResize,libxml2,Top-200+bb_hash (26)
xmlBufferCat,libxml2,Top-1 (5)
xmlParseComment,libxml2,Top-1 (127)
xmlBufferAdd,libxml2,Top-50+bb_hash (10)
xmlParseSystemLiteral,libxml2,Top-25+bb_hash (18)
xmlValidCtxtNormalizeAttributeValue,libxml2,Top-150+bb_hash (9)
xmlParseReference,libxml2,Top-1 (75)
xmlAddID,libxml2,Top-200(2) (tie)
xmlParsePubidLiteral,libxml2,Top-1 (20)
xmlStaticCopyNodeList,libxml2,Not Found
