xmlFreeEntity,libxml2,Top-25+bb_hash (7)
xmlStringLenDecodeEntities,libxml2,Top-50+bb_hash (51)
xmlParseSystemLiteral,libxml2,Top-1 (0)
xmlSkipBlankChars,libxml2,Top-25+bb_hash (5)
xmlSchemaPreRun,libxml2,Top-400(0) (tie)
xmlParseReference,libxml2,Top-25+bb_hash (28)
xmlBufAdd,libxml2,Top-1 (1)
xmlBufGrowInternal,libxml2,Top-25+bb_hash (2)
xmlAddRef,libxml2,Top-150(2) (tie)
xmlRemoveID,libxml2,Top-100+bb_hash (1)
xmlStringGetNodeList,libxml2,Top-25+bb_hash (8)
xmlNewPropInternal,libxml2,Top-150+bb_hash (6)
xmlEncodeEntitiesInternal,libxml2,Top-25+bb_hash (20)
xmlValidCtxtNormalizeAttributeValue,libxml2,libxml2,Top-300+bb_hash (6)
xmlParseComment,libxml2,Top-1 (42)
xmlSchemaFixupComplexType,libxml2,Top-25+bb_hash (114)
xmlBufferCreateSize,libxml2,Top-50(1) (tie)
xmlBufferGrow,libxml2,Top-400(1) (tie)
xmlStaticCopyNodeList,libxml2,libxml2,Top-500(2) (tie)
xmlCreateEntity,libxml2,Top-200+bb_hash (3)
xmlParseElementChildrenContentDeclPriv,libxml2,Top-25+bb_hash (17)
xmlParseStringName,libxml2,Top-450+bb_hash (3)
xmlParseCDSect,libxml2,Top-100+bb_hash (13)
xmlBufferResize,libxml2,Top-25+bb_hash (13)
xmlParseName,libxml2,Top-25+bb_hash (66)
xmlParseAttValueInternal,libxml2,Top-1 (71)
xmlParsePI,libxml2,Top-25+bb_hash (23)
xmlSAX2ExternalSubset,libxml2,libxml2,Top-300+bb_hash (7)
xmlBufResize,libxml2,Top-1 (13)
xmlNewDocNodeEatName,libxml2,Top-50(2) (tie)
xmlParseEntityValue,libxml2,Top-50+bb_hash (11)
xmlDictComputeFastKey,libxml2,Top-25+bb_hash (11)
xmlXIncludeDoProcess,libxml2,Top-1 (97)
xmlBufferAdd,libxml2,Top-1 (4)
xmlParserEntityCheck,libxml2,Top-25(3) (tie)
xmlParseNmtoken,libxml2,Top-400+bb_hash (6)
xmlAddID,libxml2,Not Found
xmlParsePEReference,libxml2,Top-100+bb_hash (10)
xmlParsePubidLiteral,libxml2,Top-25(not max)
xmlBufCreateSize,libxml2,Top-25(1) (tie)
xmlCreatePushParserCtxt,libxml2,Top-350+bb_hash (4)
xmlParseNCName,libxml2,Top-200+bb_hash (10)
xmlValidNormalizeAttributeValue,libxml2,Top-350+bb_hash (8)
