xmlParsePubidLiteral,libxml2,Top-1 + bb_hash 35
xmlHTMLEncodeSend,xmllint,Top-1 + bb_hash 3
xmlEncodeEntitiesInternal,libxml2,Top-25 + bb_hash 52
xmlSchemaFixupComplexType,libxml2,Top-1 + bb_hash 119
xmlBufferAdd,libxml2,Top-1 + bb_hash 17
xmlSchemaPreRun,libxml2,Top-1 + bb_hash 5
xmlRemoveID,libxml2,Top-25 + bb_hash 10
xmlBufGrowInternal,libxml2,Top-400 + bb_hash 2 (tie)
xmlBufferResize,libxml2,Top-1 + bb_hash 28
xmlFreeEntity,libxml2,Top-1 + bb_hash 35
parseAndPrintFile,xmllint,Top-1 + bb_hash 239
xmlParseBalancedChunkMemoryRecover,libxml2,Top-1 + bb_hash 38
xmlParseName,libxml2,Top-1 + bb_hash 44
xmlParseNCName,libxml2,Top-150 + bb_hash 35
xmlBufferCreateSize,libxml2,Top-1 + bb_hash 10
xmlHaltParser,libxml2,Top-25 + bb_hash 4
xmlParsePEReference,libxml2,Top-1 + bb_hash 39
htmlAttrDumpOutput,libxml2,Top-1 + bb_hash 13
xmlXIncludeDoProcess,libxml2,Top-1 + bb_hash 149
xmlBufCreateSize,libxml2,Top-1 + bb_hash 9
xmlParsePI,libxml2,Top-1 + bb_hash 79
xmlValidateAttributeValue2,libxml2,Top-1 + bb_hash 41
xmlParseAttValueInternal,libxml2,Top-1 + bb_hash 52
xmlBufferGrow,libxml2,Top-25 + bb_hash 8
xmlTextReaderRead,libxml2,Top-1 + bb_hash 217
xmlParseCDSect,libxml2,Top-1 + bb_hash 56
xmlParseElementChildrenContentDeclPriv,libxml2,Top-1 + bb_hash 98
xmlValidNormalizeAttributeValue,libxml2,Top-1 + bb_hash 29
xmlBufferCCat,libxml2,Top-1 + bb_hash 13
xmlParseStringName,libxml2,Top-1 + bb_hash 31
xmlAddRef,libxml2,Top-50 + bb_hash 10
xmlParseEntityValue,libxml2,Top-1 + bb_hash 43
xmlParserEntityCheck,libxml2,Top-25 + bb_hash 12
xmlAddID,libxml2,Top-1 + bb_hash 16
xmlBufResize,libxml2,Top-50 + bb_hash 23
xmlCtxtUseOptionsInternal,libxml2,Top-1 + bb_hash 60
xmlDetectSAX2,libxml2,Top-1 + bb_hash 12
xmlBufferCreateStatic,libxml2,Top-25 + bb_hash 7
xmlDictComputeFastKey,libxml2,Top-1 + bb_hash 15
xmlParseComment,libxml2,Top-1 + bb_hash 92
xmlSAXVersion,libxml2,Top-1 + bb_hash 3
xmlStaticCopyNodeList,libxml2,Top-1 + bb_hash 18
xmlBufCCat,libxml2,Top-25 + bb_hash 9
xmlParseSystemLiteral,libxml2,Top-50 + bb_hash 30
xmlXPathCompOpEval,libxml2,Top-1 + bb_hash 174
xmlStringLenDecodeEntities,libxml2,Top-1 + bb_hash 155
xmlValidCtxtNormalizeAttributeValue,libxml2,Top-1 + bb_hash 42
xmlParseNmtoken,libxml2,Top-1 + bb_hash 49
xmlBufAdd,libxml2,Top-1 + bb_hash 10
xmlCreateEntity,libxml2,Top-1 + bb_hash 16
