xmlParsePubidLiteral,libxml2,Top-25 + bb_hash 36
xmlSchemaFixupComplexType,libxml2,Top-1 + bb_hash 180
xmlBufferAdd,libxml2,Top-1 + bb_hash 13
xmlBufGrowInternal,libxml2,Top-50 + bb_hash 10
xmlBufferResize,libxml2,Top-1 + bb_hash 11
xmlFreeEntity,libxml2,Top-25 + bb_hash 29
xmlParseNCName,libxml2,Top-25 + bb_hash 29
xmlParseName,libxml2,Top-1 + bb_hash 73
xmlBufferCreateSize,libxml2,Top-50 + bb_hash 4 (tie)
xmlBufCreateSize,libxml2,Top-25 + bb_hash 8
xmlParsePI,libxml2,Top-1 + bb_hash 62
xmlParseAttValueInternal,libxml2,Top-25 + bb_hash 36
xmlBufferGrow,libxml2,Top-1 + bb_hash 8
xmlTextReaderRead,libxml2,Top-1 + bb_hash 158
xmlParseCDSect,libxml2,Top-1 + bb_hash 30
xmlBufferCCat,libxml2,Top-1 + bb_hash 14
xmlParseStringName,libxml2,Top-25 + bb_hash 11
xmlParseEntityValue,libxml2,Top-1 + bb_hash 20
xmlBufResize,libxml2,Top-25 + bb_hash 24
xmlCtxtUseOptionsInternal,libxml2,Top-1 + bb_hash 10
xmlDetectSAX2,libxml2,Top-1 + bb_hash 12
xmlBufferCreateStatic,libxml2,Top-150 + bb_hash 3
xmlDictComputeFastKey,libxml2,Top-1 + bb_hash 16
xmlParseComment,libxml2,Top-1 + bb_hash 83
xmlSAXVersion,libxml2,Top-500 + bb_hash 3
xmlStaticCopyNodeList,libxml2,Top-1 + bb_hash 12
xmlBufCCat,libxml2,Top-1 + bb_hash 18
xmlParseSystemLiteral,libxml2,Top-25 + bb_hash 31
xmlParseNmtoken,libxml2,Top-1 + bb_hash 16
xmlBufAdd,libxml2,Top-1 + bb_hash 22
xmlCreateEntity,libxml2,Top-1 + bb_hash 12
