cvtchar,libtic,Top-1 + bb_hash 13
_nc_save_str,libtic,Top-1 + bb_hash 3
_nc_parse_entry,libtic,Top-1 + bb_hash 96
main,tput,Top-1 + bb_hash 30
tparm_type,tic,Top-1 + bb_hash 2
usage,tput,Top-1 + bb_hash 0
tparm,libtinfo,Top-1 + bb_hash 63
tiparm,libtinfo,Top-25 + bb_hash 63 (tie)
_nc_read_termtype,libtinfo,Top-1 + bb_hash 17
tgoto,libtinfo,Top-25 + bb_hash 0 (tie)
tput_cmd,tput,Top-1 + bb_hash 40
check_1_infotocap,tic,Top-1 + bb_hash 28
convert_strings,libtinfo,Top-1 + bb_hash 5
_nc_init_entry,libtic,Top-1 + bb_hash 1
