recv_msg,ssh-agent,Top-1 + bb_hash 16
kex_names_cat,ssh,Top-1 + bb_hash 24
subprocess,sshd,Top-1 + bb_hash 43
kex_protocol_error,ssh,Top-1 + bb_hash 3
sshsk_sign,ssh-agent,Top-1 + bb_hash 25
ssh_userauth2,ssh,Top-1 + bb_hash 138
sshsk_load_resident,ssh-agent,Top-1 + bb_hash 27
compat_pkalg_proposal,sshd,Top-1 + bb_hash 5
input_userauth_success,ssh,Top-1 + bb_hash 5
sshpkt_disconnect,ssh,Top-1 + bb_hash 9
input_userauth_ext_info,ssh,Too few basic blocks
pkcs11_terminate,ssh-agent,Not Found
ecdsa_do_sign,ssh-agent,Top-1 + bb_hash 18
sshsk_enroll,ssh-agent,Top-1 + bb_hash 34
ssh_packet_read_seqnr,ssh,Top-25 + bb_hash 26
rsa_encrypt,ssh-agent,Top-1 + bb_hash 22
ssh_packet_read_poll2,ssh,Top-1 + bb_hash 93
compat_cipher_proposal,sshd,Top-25 + bb_hash 5
ssh_kex2,ssh,Top-1 + bb_hash 24
compat_kex_proposal,sshd,Top-1 + bb_hash 9
kex_input_ext_info,ssh,Top-1 + bb_hash 14
kex_input_kexinit,ssh,Top-1 + bb_hash 108
pkcs11_del_provider,ssh-agent,Top-1 + bb_hash 6
ssh_packet_read_poll_seqnr,ssh,Top-1 + bb_hash 23
handle_conn_read,ssh-agent,Top-1 + bb_hash 230
ssh_packet_send2_wrapped,ssh,Top-1 + bb_hash 59
ssh_packet_read_expect,ssh,Top-1 + bb_hash 6
main,ssh,Top-1 + bb_hash 622
pkcs11_init,ssh-agent,Too few basic blocks
pkcs11_add_provider,ssh-agent,Top-1 + bb_hash 53
