function,lib
dhcp6_no_relay,not found
add_options,not found
parse_server,dnsmasq
check_tftp_listeners,not found
set_dns_listeners,dnsmasq
from_wire,not found
add_resource_record,dnsmasq
do_options,not found
validate_rrset,not found
prove_non_existence_nsec3,not found
dnssec_generate_query,not found
join_multicast,not found
check_servers,dnsmasq
hostname_cmp,not found
check_for_ignored_address,dnsmasq
tcp_interface,dnsmasq
check_date_range,not found
dhcp6_maybe_relay,not found
receive_query,dnsmasq
parse_dhcp_opt,not found
forward_query,dnsmasq
dhcp6_reply,not found
enumerate_interfaces,dnsmasq
sort_rrset,not found
prove_non_existence,not found
check_dns_listeners,dnsmasq
local_bind,dnsmasq
tftp_request,not found
process_reply,dnsmasq
get_rdata,not found
send_from,dnsmasq
safe_strncpy,dnsmasq
prove_non_existence_nsec,not found
pre_allocate_sfds,dnsmasq
