function,lib
local_bind,dnsmasq
check_tftp_listeners,not found
check_date_range,not found
receive_query,dnsmasq
tftp_request,not found
check_dns_listeners,dnsmasq
hostname_cmp,not found
prove_non_existence,not found
add_options,not found
get_rdata,not found
sort_rrset,not found
set_dns_listeners,dnsmasq
do_options,not found
pre_allocate_sfds,dnsmasq
dhcp6_no_relay,not found
dhcp6_reply,not found
enumerate_interfaces,dnsmasq
validate_rrset,not found
add_resource_record,dnsmasq
safe_strncpy,dnsmasq
from_wire,not found
check_servers,dnsmasq
prove_non_existence_nsec,not found
dnssec_generate_query,not found
parse_dhcp_opt,not found
forward_query,dnsmasq
check_for_ignored_address,dnsmasq
prove_non_existence_nsec3,not found
process_reply,dnsmasq
send_from,dnsmasq
tcp_interface,dnsmasq
join_multicast,not found
dhcp6_maybe_relay,not found
parse_server,dnsmasq
