function,lib,name
storeAtts,libexpat,storeAtts
doProlog,libexpat,doProlog
addBinding,libexpat,addBinding
defineAttribute,libexpat,defineAttribute
nextScaffoldPart,libexpat,nextScaffoldPart
build_model,libexpat,build_model
lookup,libexpat,lookup
XML_GetBuffer,libexpat,XML_GetBuffer
normal_prologTok,libexpat,normal_prologTok
little2_prologTok,libexpat,little2_prologTok
big2_prologTok,libexpat,big2_prologTok
XML_ParserCreate,libexpat,XML_ParserCreate
XML_ExternalEntityParserCreate,libexpat,XML_ExternalEntityParserCreate
build_node,libexpat,build_node
getElementType,libexpat,getElementType
storeRawNames,libexpat,storeRawNames
internalEntityProcessor,libexpat,internalEntityProcessor
parserCreate,libexpat,parserCreate
