function,lib
processInternalEntity,libexpat
internalEntityProcessor,libexpat
defineAttribute,libexpat
parserCreate,libexpat
lookup,libexpat
XML_ExternalEntityParserCreate,libexpat
storeAtts,libexpat
setElementTypePrefix,libexpat
build_model,libexpat
PREFIX,not found
nextScaffoldPart,libexpat
doProlog,libexpat
addBinding,libexpat
initializeEncoding,libexpat
make_suite,not found
START_TEST,not found
externalParEntProcessor,libexpat
prologProcessor,libexpat
XML_GetBuffer,libexpat
XML_ParserCreate,libexpat
