function,lib,name
xmlValidNormalizeAttributeValue,libxml2,xmlValidNormalizeAttributeValue
xmlBufferCreateStatic,libxml2,xmlBufferCreateStatic
parseAndPrintFile,xmllint,parseAndPrintFile
xmlNewDocNodeEatName,libxml2,xmlNewDocNodeEatName
xmlBufferResize,libxml2,xmlBufferResize
xmlBufferCat,libxml2,xmlBufferCat
xmlBufAdd,libxml2,xmlBufAdd
xmlBufCreateSize,libxml2,xmlBufCreateSize
xmlParseNCName,libxml2,xmlParseNCName
xmlParseNmtoken,libxml2,xmlParseNmtoken
xmlSAX2ExternalSubset,libxml2,xmlSAX2ExternalSubset
xmlHTMLEncodeSend,xmllint,xmlHTMLEncodeSend
xmlBufferAdd,libxml2,xmlBufferAdd
xmlXIncludeDoProcess,libxml2,xmlXIncludeDoProcess
xmlSkipBlankChars,libxml2,xmlSkipBlankChars
xmlParseComment,libxml2,xmlParseComment
xmlValidCtxtNormalizeAttributeValue,libxml2,xmlValidCtxtNormalizeAttributeValue
xmlBufCat,libxml2,xmlBufCat
xmlSchemaPreRun,libxml2,xmlSchemaPreRun
xmlParserEntityCheck,libxml2,xmlParserEntityCheck
xmlAddRef,libxml2,xmlAddRef
xmlParseReference,libxml2,xmlParseReference
xmlAddID,libxml2,xmlAddID
xmlNewPropInternal,libxml2,xmlNewPropInternal
xmlParseSystemLiteral,libxml2,xmlParseSystemLiteral
xmlParsePEReference,libxml2,xmlParsePEReference
xmlBufResize,libxml2,xmlBufResize
xmlDictComputeFastKey,libxml2,xmlDictComputeFastKey
xmlBufferCreateSize,libxml2,xmlBufferCreateSize
xmlCreatePushParserCtxt,libxml2,xmlCreatePushParserCtxt
xmlBufferGrow,libxml2,xmlBufferGrow
xmlParseEntityValue,libxml2,xmlParseEntityValue
xmlParseStringName,libxml2,xmlParseStringName
xmlCreateEntity,libxml2,xmlCreateEntity
xmlParsePI,libxml2,xmlParsePI
xmlParseCDSect,libxml2,xmlParseCDSect
xmlStaticCopyNodeList,libxml2,xmlStaticCopyNodeList
xmlParseName,libxml2,xmlParseName
xmlStringLenDecodeEntities,libxml2,xmlStringLenDecodeEntities
xmlFreeEntity,libxml2,xmlFreeEntity
xmlParseElementChildrenContentDeclPriv,libxml2,xmlParseElementChildrenContentDeclPriv
xmlRemoveID,libxml2,xmlRemoveID
xmlValidNormalizeString,libxml2,xmlValidNormalizeString
xmlEncodeEntitiesInternal,libxml2,xmlEncodeEntitiesInternal
xmlSchemaFixupComplexType,libxml2,xmlSchemaFixupComplexType
xmlParsePubidLiteral,libxml2,xmlParsePubidLiteral
xmlStringGetNodeList,libxml2,xmlStringGetNodeList
xmlBufGrowInternal,libxml2,xmlBufGrowInternal
xmlParseAttValueInternal,libxml2,xmlParseAttValueInternal
