function,lib,name
xmlFreeEntity,libxml2,sub_1E8B8
xmlBufferCreateStatic,libxml2,xmlBufferCreateStatic
xmlStringLenDecodeEntities,libxml2,xmlStringLenDecodeEntities
xmlParseSystemLiteral,libxml2,xmlParseSystemLiteral
xmlSkipBlankChars,libxml2,xmlSkipBlankChars
xmlSchemaPreRun,libxml2,sub_BA960
xmlParseReference,libxml2,xmlParseReference
xmlBufAdd,libxml2,xmlBufAdd
xmlBufGrowInternal,libxml2,sub_98028
xmlAddRef,libxml2,xmlAddRef
xmlRemoveID,libxml2,xmlRemoveID
xmlStringGetNodeList,libxml2,xmlStringGetNodeList
xmlNewPropInternal,libxml2,sub_44F20
xmlEncodeEntitiesInternal,libxml2,sub_1EC10
xmlValidCtxtNormalizeAttributeValue,libxml2,xmlValidCtxtNormalizeAttributeValue
xmlBufCat,libxml2,xmlBufCat
xmlParseComment,libxml2,xmlParseComment
xmlSchemaFixupComplexType,libxml2,sub_BD5A8
xmlBufferCreateSize,libxml2,xmlBufferCreateSize
xmlBufferGrow,libxml2,xmlBufferGrow
xmlStaticCopyNodeList,libxml2,sub_4A63C
xmlCreateEntity,libxml2,sub_1E708
xmlParseElementChildrenContentDeclPriv,libxml2,sub_3617C
xmlParseStringName,libxml2,sub_2A3F8
xmlParseCDSect,libxml2,xmlParseCDSect
xmlBufferResize,libxml2,xmlBufferResize
xmlParseName,libxml2,xmlParseName
xmlParseAttValueInternal,libxml2,sub_30EF8
xmlParsePI,libxml2,xmlParsePI
xmlSAX2ExternalSubset,libxml2,xmlSAX2ExternalSubset
parseAndPrintFile,xmllint,parseAndPrintFile
xmlBufResize,libxml2,xmlBufResize
xmlNewDocNodeEatName,libxml2,xmlNewDocNodeEatName
xmlBufferCat,libxml2,xmlBufferCat
xmlParseEntityValue,libxml2,xmlParseEntityValue
xmlDictComputeFastKey,libxml2,sub_E6AB4
xmlXIncludeDoProcess,libxml2,sub_8B9F8
xmlValidNormalizeString,libxml2,xmlValidNormalizeString
xmlBufferAdd,libxml2,xmlBufferAdd
xmlParserEntityCheck,libxml2,sub_2C460
xmlParseNmtoken,libxml2,xmlParseNmtoken
xmlAddID,libxml2,xmlAddID
xmlParsePEReference,libxml2,sub_32F24
xmlParsePubidLiteral,libxml2,xmlParsePubidLiteral
xmlBufCreateSize,libxml2,xmlBufCreateSize
xmlCreatePushParserCtxt,libxml2,xmlCreatePushParserCtxt
xmlParseNCName,libxml2,sub_2B814
xmlHTMLEncodeSend,xmllint,xmlHTMLEncodeSend
xmlValidNormalizeAttributeValue,libxml2,xmlValidNormalizeAttributeValue
